layer_idx,score,score_delta,uncertainty,log_odds,accuracy,label
0,2.670932,2.020491,5.565033,-12.650695,0.000000,reasoning
1,3.008741,1.682682,9.420505,-21.385350,0.000000,reasoning
2,4.363102,0.328321,6.839072,-22.878877,0.000000,syntax
3,4.721535,-0.030112,7.636934,-23.080172,0.000000,syntax
4,4.500831,0.190592,7.386313,-24.549436,0.000000,syntax
5,4.887240,-0.195817,8.051334,-23.431454,0.000000,syntax
6,4.072053,0.619370,9.465928,-23.892122,0.000000,reasoning
7,4.582868,0.108555,9.642282,-23.338786,0.000000,syntax
8,4.462435,0.228988,7.269579,-23.664880,0.000000,syntax
9,4.115211,0.576212,7.486123,-23.229728,0.000000,reasoning
10,4.116561,0.574862,7.837187,-23.198668,0.000000,reasoning
11,4.587184,0.104239,9.752714,-23.671148,0.000000,syntax
12,4.772965,-0.081542,9.999623,-23.593303,0.000000,syntax
13,5.313510,-0.622086,7.701004,-24.033687,0.000000,reasoning
14,3.447696,1.243727,6.959225,-23.992581,0.000000,reasoning
15,4.618065,0.073358,8.333864,-23.270980,0.000000,syntax
16,5.021448,-0.330025,7.759588,-23.349398,0.000000,syntax
17,4.114954,0.576469,9.793593,-23.477301,0.000000,reasoning
18,4.662159,0.029264,9.870526,-23.835835,0.000000,syntax
19,5.074874,-0.383451,9.750816,-23.935813,0.250000,syntax
20,4.638589,0.052834,7.887893,-23.813802,0.000000,syntax
21,4.386096,0.305327,9.876844,-24.620760,0.000000,syntax
22,3.870751,0.820672,8.367138,-24.309694,0.000000,reasoning
23,4.342063,0.349360,8.700661,-24.377749,0.000000,semantic_processing
24,4.984254,-0.292831,8.272258,-24.069168,0.000000,semantic_processing
25,4.794037,-0.102614,9.268223,-23.476796,0.000000,formatting
26,4.746992,-0.055569,8.366967,-24.102093,0.000000,output
27,5.610080,-0.918657,5.124639,-22.975177,0.000000,reasoning
