layer_idx,score,score_delta,uncertainty,log_odds,accuracy,label
0,3.808920,0.233604,6.853084,-13.050639,0.000000,early_processing
1,2.329412,1.713113,5.572136,-23.430739,0.000000,reasoning
2,3.776951,0.265574,10.033172,-24.800729,0.000000,syntax
3,3.727143,0.315382,8.156661,-23.418431,0.000000,syntax
4,3.631452,0.411073,8.795545,-25.709168,0.000000,reasoning
5,4.429342,-0.386818,10.176313,-24.416962,0.000000,reasoning
6,4.207821,-0.165296,8.716975,-25.431952,0.000000,syntax
7,2.677726,1.364799,4.869650,-23.993289,0.000000,reasoning
8,4.310310,-0.267786,8.326482,-24.173338,0.000000,syntax
9,4.113080,-0.070555,8.888420,-24.263467,0.000000,syntax
10,3.707590,0.334935,9.142368,-23.338935,0.000000,reasoning
11,3.246269,0.796255,7.290561,-24.311242,0.000000,reasoning
12,3.915626,0.126899,8.980490,-23.575391,0.000000,syntax
13,3.797408,0.245117,9.049539,-24.129586,0.000000,syntax
14,3.946165,0.096360,8.398406,-23.377066,0.000000,syntax
15,3.716652,0.325872,8.718401,-23.579916,0.000000,syntax
16,4.080079,-0.037555,7.327631,-24.115226,0.000000,syntax
17,3.511866,0.530658,8.026978,-23.865436,0.000000,reasoning
18,3.301268,0.741256,7.418793,-24.256558,0.000000,reasoning
19,3.803372,0.239153,8.046632,-24.838575,0.000000,syntax
20,3.798026,0.244498,8.176550,-23.650353,0.000000,syntax
21,4.164345,-0.121820,8.501870,-24.160057,0.000000,syntax
22,3.317546,0.724979,7.688563,-23.442057,0.000000,reasoning
23,4.199357,-0.156833,8.489868,-23.754791,0.000000,semantic_processing
24,3.844398,0.198126,8.984796,-24.130648,0.000000,semantic_processing
25,4.088088,-0.045563,9.094356,-22.516926,0.000000,formatting
26,4.063420,-0.020895,9.005538,-23.438493,0.000000,output
27,4.604808,-0.562283,7.035671,-24.188857,0.000000,reasoning
